NB,TRUE,16,1,39,7,88,71,.15,.78,.49 
NB,TRUE,22,0,65,20,100,75,.24,.86,.47
NB,TRUE,7,0,21,8,100,75,.28,.86,.47
NB,TRUE,1017,68,15,9,12,1,.38,.03,.38
NB,TRUE,1685,245,96,81,25,5,.46,.09,.47 
NB,TRUE,414,96,1,11,10,.2,.92,.005,.37
NB,TRUE,372,26,43,17,40,10,.28,.16,.57
NB,TRUE,413,36,36,13,27,8,.27,.12,.48
NB,TRUE,305,13,67,18,58,18,.21,.27,.68
NB,TRUE,94,34,15,18,35,14,.55,.20,.53
PRISM,TRUE,X,X,X,X,28,4.3,X,X
PRISM,TRUE,X,X,X,X,38,0,X,X
PRISM,TRUE,X,X,X,X,59,9,X,X
PRISM,TRUE,X,X,X,X,0,.3,X,X
PRISM,TRUE,X,X,X,X,42,10,X,X
PRISM,TRUE,X,X,X,X,14,5,X,X
PRISM,TRUE,X,X,X,X,24,2,X,X
PRISM,TRUE,X,X,X,X,2,0,X,X
PRISM,TRUE,X,X,X,X,9.4,1,X,X
PRISM,TRUE,7.5,0.9,X,X
