sick,normalize,n-chops8,none,none,nb,SICK,17,3430,58,214,0.06,0.79,0.06,0.77,0.11,0.11
sick,normalize,n-chops8,none,none,nb,NEGATIVE,58,209,17,3483,0.94,1,0.94,0.23,0.97,0.37
cloud,bore,normal-chops,none,none,oner,-3,38,69,0,0,0.36,0,0,0,0,0
cloud,bore,normal-chops,none,none,oner,-2,31,63,7,6,0.35,0.46,0.09,0.18,0.15,0.12
cloud,bore,normal-chops,none,none,oner,-1,30,28,8,42,0.67,0.84,0.6,0.21,0.7,0.31
cloud,bore,normal-chops,none,none,oner,0,38,69,0,0,0.36,0,0,0,0,0
cloud,bore,normal-chops,none,none,oner,1,24,55,14,14,0.36,0.5,0.2,0.37,0.29,0.26
cloud,bore,normal-chops,none,none,oner,2,32,65,6,4,0.34,0.4,0.06,0.16,0.1,0.08
cloud,bore,normal-chops,none,none,oner,3,35,65,3,4,0.36,0.57,0.06,0.08,0.11,0.07
cloud,none,n-chops8,none,none,oner,1,63,31,3,10,0.68,0.77,0.24,0.05,0.37,0.08
cloud,none,n-chops8,none,none,oner,2,58,35,8,6,0.6,0.43,0.15,0.12,0.22,0.13
cloud,none,n-chops8,none,none,oner,3,55,38,11,3,0.54,0.21,0.07,0.17,0.11,0.1
cloud,none,n-chops8,none,none,oner,4,54,39,12,2,0.52,0.14,0.05,0.18,0.07,0.08
cloud,none,n-chops8,none,none,oner,5,54,39,12,2,0.52,0.14,0.05,0.18,0.07,0.08
cloud,none,n-chops8,none,none,oner,6,57,36,9,5,0.58,0.36,0.12,0.14,0.18,0.13
cloud,none,n-chops8,none,none,oner,7,59,35,7,7,0.61,0.5,0.17,0.11,0.25,0.13
cloud,none,n-chops8,none,none,oner,8,62,34,4,7,0.64,0.64,0.17,0.06,0.27,0.09
cloud,bore,normal-chops,none,none,2b,-3,51,56,0,0,0.48,0,0,0,0,0
cloud,bore,normal-chops,none,none,2b,-2,44,56,7,0,0.41,0,0,0.14,0,0
cloud,bore,normal-chops,none,none,2b,-1,23,4,28,53,0.7,0.65,0.93,0.55,0.77,0.69
cloud,bore,normal-chops,none,none,2b,0,51,56,0,0,0.48,0,0,0,0,0
cloud,bore,normal-chops,none,none,2b,1,36,52,15,4,0.37,0.21,0.07,0.29,0.11,0.11
cloud,bore,normal-chops,none,none,2b,2,50,56,1,0,0.47,0,0,0.02,0,0
cloud,bore,normal-chops,none,none,2b,3,51,56,0,0,0.48,0,0,0,0,0
cloud,none,n-chops8,none,none,2b,1,65,26,10,6,0.66,0.38,0.19,0.13,0.25,0.16
cloud,none,n-chops8,none,none,2b,2,73,26,2,6,0.74,0.75,0.19,0.03,0.3,0.05
cloud,none,n-chops8,none,none,2b,3,58,24,17,8,0.62,0.32,0.25,0.23,0.28,0.24
cloud,none,n-chops8,none,none,2b,4,68,28,7,4,0.67,0.36,0.13,0.09,0.19,0.11
cloud,none,n-chops8,none,none,2b,5,60,31,15,1,0.57,0.06,0.03,0.2,0.04,0.05
cloud,none,n-chops8,none,none,2b,6,70,32,5,0,0.65,0,0,0.07,0,0
cloud,none,n-chops8,none,none,2b,7,60,25,15,8,0.63,0.35,0.24,0.2,0.29,0.22
cloud,none,n-chops8,none,none,2b,8,71,32,4,0,0.66,0,0,0.05,0,0
cloud,none,n-chops8,none,none,nb,1,24,67,2,13,0.35,0.87,0.16,0.08,0.27,0.1
cloud,none,n-chops8,none,none,nb,2,22,68,4,12,0.32,0.75,0.15,0.15,0.25,0.15
cloud,none,n-chops8,none,none,nb,3,25,72,1,8,0.31,0.89,0.1,0.04,0.18,0.06
cloud,none,n-chops8,none,none,nb,4,24,70,2,11,0.33,0.85,0.14,0.08,0.23,0.1
cloud,none,n-chops8,none,none,nb,5,22,71,4,9,0.29,0.69,0.11,0.15,0.19,0.13
cloud,none,n-chops8,none,none,nb,6,19,69,7,11,0.28,0.61,0.14,0.27,0.22,0.18
cloud,none,n-chops8,none,none,nb,7,23,73,3,8,0.29,0.73,0.1,0.12,0.17,0.11
cloud,none,n-chops8,none,none,nb,8,23,70,3,10,0.31,0.77,0.13,0.12,0.22,0.12
cloud,bore,normal-chops,none,none,nb,-3,41,66,0,0,0.38,0,0,0,0,0
cloud,bore,normal-chops,none,none,nb,-2,39,64,2,2,0.38,0.5,0.03,0.05,0.06,0.04
cloud,bore,normal-chops,none,none,nb,-1,33,25,8,42,0.69,0.84,0.63,0.2,0.72,0.3
cloud,bore,normal-chops,none,none,nb,0,41,66,0,0,0.38,0,0,0,0,0
cloud,bore,normal-chops,none,none,nb,1,10,44,31,22,0.3,0.42,0.33,0.76,0.37,0.46
cloud,bore,normal-chops,none,none,nb,2,41,65,0,1,0.39,1,0.02,0,0.03,0
cloud,bore,normal-chops,none,none,nb,3,41,66,0,0,0.38,0,0,0,0,0
ionosphere,none,n-chops8,none,none,nb,G,16,124,0,209,0.64,1,0.63,0,0.77,0
ionosphere,none,n-chops8,none,none,nb,B,0,205,16,126,0.36,0.89,0.38,1,0.53,0.55
ionosphere,normalize,normal-chops,genic2-3,none,nb,B,0,205,16,126,0.36,0.89,0.38,1,0.53,0.55
ionosphere,normalize,normal-chops,genic2-3,none,nb,G,16,124,0,209,0.64,1,0.63,0,0.77,0
ionosphere,normalize,normal-chops,genic2-3,none,2b,G,220,124,0,5,0.64,1,0.04,0,0.07,0
ionosphere,normalize,normal-chops,genic2-3,none,2b,B,0,5,220,126,0.36,0.36,0.96,1,0.53,0.98
ionosphere,none,n-chops8,none,none,2b,B,0,2,223,126,0.36,0.36,0.98,1,0.53,0.99
ionosphere,none,n-chops8,none,none,2b,G,223,124,0,2,0.64,1,0.02,0,0.03,0
ionosphere,none,n-bins8,none,none,2b,G,225,124,0,0,0.64,0,0,0,0,0
ionosphere,none,n-bins8,none,none,2b,B,0,0,225,126,0.36,0.36,1,1,0.53,1
ionosphere,none,n-bins8,none,none,nb,G,16,124,0,209,0.64,1,0.63,0,0.77,0
