 (BSQUARE-NB BSQUARE 4 KNN FALSE,3,25,34,355,.93,.92,.91,.93,.35)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,379,23,5,10,.30,.01,.67,.02,.51)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,14,9,19,375,.98,.58,.95,.72,.59)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,389,19,2,7,.27,.01,.78,.01,.48)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,7,12,19,379,.97,.73,.95,.83,.48)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,364,17,26,10,.37,.07,.28,.11,.55)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,10,26,17,364,.93,.63,.96,.75,.55)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,344,24,43,6,.20,.11,.12,.14,.43)
 (BSQUARE-NB BSQUARE 8 KNN FALSE,6,43,24,344,.89,.80,.93,.84,.43)
 (INFOGAIN-PRISM INFOGAIN 8 KNN TRUE,396,14,3,4,.22,.01,.57,.01,.45)
 (INFOGAIN-PRISM INFOGAIN 8 KNN FALSE,4,9,14,390,.98,.78,.97,.87,.45)
 (BSQUARE-PRISM BSQUARE 8 KNN TRUE,383,19,6,9,.32,.02,.60,.03,.52)
 (BSQUARE-PRISM BSQUARE 8 KNN FALSE,11,12,17,377,.97,.61,.96,.75,.57)
 (INFOGAIN-NB INFOGAIN 10 KNN TRUE,383,19,7,8,.30,.02,.53,.03,.50)
 (INFOGAIN-NB INFOGAIN 10 KNN FALSE,8,7,19,383,.98,.70,.95,.82,.50)
 (BSQUARE-NB BSQUARE 10 KNN TRUE,355,19,35,8,.30,.09,.19,.14,.50)
 (BSQUARE-NB BSQUARE 10 KNN FALSE,8,35,19,355,.91,.70,.95,.79,.50)
 (INFOGAIN-PRISM INFOGAIN 10 KNN TRUE,390,20,3,4,.17,.01,.57,.01,.41)
 (INFOGAIN-PRISM INFOGAIN 10 KNN FALSE,6,10,18,383,.97,.75,.96,.85,.47)
 (BSQUARE-PRISM BSQUARE 10 KNN TRUE,391,14,3,9,.39,.01,.75,.01,.57)
 (BSQUARE-PRISM BSQUARE 10 KNN FALSE,11,12,12,382,.97,.52,.97,.68,.63)
 (INFOGAIN-NB INFOGAIN 12 KNN TRUE,371,21,21,4,.16,.05,.16,.08,.40)
 (INFOGAIN-NB INFOGAIN 12 KNN FALSE,4,21,21,371,.95,.84,.95,.89,.40)
 (BSQUARE-NB BSQUARE 12 KNN TRUE,348,27,34,8,.23,.09,.19,.13,.45)
 (BSQUARE-NB BSQUARE 12 KNN FALSE,8,34,27,348,.91,.77,.93,.84,.45)
 (INFOGAIN-PRISM INFOGAIN 12 KNN TRUE,393,13,0,11,.46,.00,1.00,.00,.62)
 (INFOGAIN-PRISM INFOGAIN 12 KNN FALSE,11,5,13,388,.99,.54,.97,.70,.62)
 (BSQUARE-PRISM BSQUARE 12 KNN TRUE,381,21,8,7,.25,.02,.47,.04,.47)
 (BSQUARE-PRISM BSQUARE 12 KNN FALSE,8,15,20,374,.96,.71,.95,.82,.49)
 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,2,0,25,390,1.00,.93,.94,.96,.35)
 (INFOGAIN-NB INFOGAIN 2 KNN TRUE,390,25,0,2,.07,.00,1.00,.00,.35)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,382,27,6,2,.07,.02,.25,.03,.34)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,2,6,27,382,.98,.93,.93,.96,.34)
 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,6,3,19,389,.99,.76,.95,.86,.46)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,391,20,1,5,.20,.003,.83,.01,.43)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,385,24,1,7,.23,.003,.88,.01,.45)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,8,4,23,382,.99,.74,.94,.85,.48)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,368,18,17,14,.44,.04,.45,.08,.60)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,14,17,18,368,.96,.56,.95,.71,.60)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,392,25,0,0,.00,.00,.00,.00,.29)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,0,0,25,392,1.00,1.00,.94,.00,.29)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,13,5,11,388,.99,.46,.97,.63,.68)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,392,13,1,11,.46,.003,.92,.01,.62)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,384,21,3,9,.30,.01,.75,.02,.50)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,11,9,19,378,.98,.63,.95,.77,.55)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,335,23,44,15,.39,.12,.25,.18,.56)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,15,44,23,335,.88,.61,.94,.72,.56)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,180,6,215,16,.73,.54,.07,.62,.57)
 (BSQUARE-NB BSQUARE 8 KNN FALSE,16,215,6,180,.46,.27,.97,.34,.57)
 (INFOGAIN-PRISM INFOGAIN 8 KNN TRUE,381,18,2,16,.47,.01,.89,.01,.63)
 (INFOGAIN-PRISM INFOGAIN 8 KNN FALSE,16,10,18,373,.97,.53,.95,.69,.63)
 (BSQUARE-PRISM BSQUARE 8 KNN TRUE,396,10,1,10,.50,.003,.91,.01,.65)
 (BSQUARE-PRISM BSQUARE 8 KNN FALSE,10,6,10,391,.98,.50,.98,.66,.65)
 (INFOGAIN-NB INFOGAIN 10 KNN TRUE,374,14,20,9,.39,.05,.31,.09,.57)
