 (BSQUARE-NB BSQUARE 4 KNN FALSE,5,4,6,72,.95,.55,.92,.69,.61)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,8,2,3,74,.97,.27,.96,.43,.81)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,75,3,1,8,.73,.01,.89,.03,.81)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,75,8,1,3,.27,.01,.75,.03,.49)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,5,4,6,72,.95,.55,.92,.69,.61)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,64,6,8,9,.60,.11,.53,.19,.71)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,9,8,6,64,.89,.40,.91,.55,.71)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,59,10,15,3,.23,.20,.17,.22,.44)
 (BSQUARE-NB BSQUARE 8 KNN FALSE,3,15,10,59,.80,.77,.86,.78,.44)
 (INFOGAIN-PRISM INFOGAIN 8 KNN FALSE,10,3,4,70,.96,.29,.95,.44,.80)
 (INFOGAIN-PRISM INFOGAIN 8 KNN TRUE,72,5,1,9,.64,.01,.90,.03,.75)
 (BSQUARE-PRISM BSQUARE 8 KNN TRUE,77,4,1,5,.56,.01,.83,.03,.69)
 (BSQUARE-PRISM BSQUARE 8 KNN FALSE,7,4,2,74,.95,.22,.97,.36,.84)
 (INFOGAIN-NB INFOGAIN 10 KNN FALSE,3,3,9,72,.96,.75,.89,.84,.47)
 (INFOGAIN-NB INFOGAIN 10 KNN TRUE,72,9,3,3,.25,.04,.50,.07,.47)
 (BSQUARE-NB BSQUARE 10 KNN TRUE,62,5,11,9,.64,.15,.45,.24,.73)
 (BSQUARE-NB BSQUARE 10 KNN FALSE,9,11,5,62,.85,.36,.93,.50,.73)
 (INFOGAIN-PRISM INFOGAIN 10 KNN TRUE,67,3,1,16,.84,.01,.94,.03,.89)
 (INFOGAIN-PRISM INFOGAIN 10 KNN FALSE,16,3,3,65,.96,.16,.96,.27,.88)
 (BSQUARE-PRISM BSQUARE 10 KNN TRUE,64,4,4,15,.79,.06,.79,.11,.85)
 (BSQUARE-PRISM BSQUARE 10 KNN FALSE,16,9,3,59,.87,.16,.95,.27,.85)
 (INFOGAIN-NB INFOGAIN 12 KNN TRUE,62,5,12,8,.62,.16,.40,.26,.70)
 (INFOGAIN-NB INFOGAIN 12 KNN FALSE,8,12,5,62,.84,.38,.93,.53,.70)
 (BSQUARE-NB BSQUARE 12 KNN TRUE,64,8,2,13,.62,.03,.87,.06,.73)
 (BSQUARE-NB BSQUARE 12 KNN FALSE,13,2,8,64,.97,.38,.89,.55,.73)
 (INFOGAIN-PRISM INFOGAIN 12 KNN TRUE,71,5,3,8,.62,.04,.73,.08,.73)
 (INFOGAIN-PRISM INFOGAIN 12 KNN FALSE,12,3,1,71,.96,.08,.99,.14,.94)
 (BSQUARE-PRISM BSQUARE 12 KNN TRUE,73,2,1,11,.85,.01,.92,.03,.89)
 (BSQUARE-PRISM BSQUARE 12 KNN FALSE,12,4,1,70,.95,.08,.99,.14,.93)
 (INFOGAIN-NB INFOGAIN 2 KNN TRUE,66,7,4,10,.59,.06,.71,.10,.71)
 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,10,4,7,66,.94,.41,.90,.57,.71)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,65,11,3,8,.42,.04,.73,.08,.59)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,8,3,11,65,.96,.58,.86,.72,.59)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,66,12,2,7,.37,.03,.78,.05,.55)
 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,7,5,12,63,.93,.63,.84,.75,.55)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,68,14,2,3,.18,.03,.60,.05,.42)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,4,3,13,67,.96,.76,.84,.85,.46)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,69,2,6,10,.83,.08,.63,.15,.87)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,10,6,2,69,.92,.17,.97,.28,.87)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,68,7,7,5,.42,.09,.42,.15,.58)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,5,7,7,68,.91,.58,.91,.71,.58)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,20,5,3,59,.92,.13,.95,.23,.89)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,62,4,2,19,.83,.03,.90,.06,.88)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,10,2,4,71,.97,.29,.95,.44,.80)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,72,6,1,8,.57,.01,.89,.03,.70)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,14,10,5,58,.85,.26,.92,.40,.79)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,58,5,10,14,.74,.15,.58,.25,.79)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,64,8,5,10,.56,.07,.67,.13,.68)
 (BSQUARE-NB BSQUARE 8 KNN FALSE,10,5,8,64,.93,.44,.89,.60,.68)
 (INFOGAIN-PRISM INFOGAIN 8 KNN TRUE,76,4,2,5,.56,.03,.71,.05,.69)
 (INFOGAIN-PRISM INFOGAIN 8 KNN FALSE,7,4,2,74,.95,.22,.97,.36,.84)
 (BSQUARE-PRISM BSQUARE 8 KNN FALSE,7,5,4,71,.93,.36,.95,.52,.74)
 (BSQUARE-PRISM BSQUARE 8 KNN TRUE,74,7,2,4,.36,.03,.67,.05,.55)
 (INFOGAIN-NB INFOGAIN 10 KNN TRUE,72,6,2,7,.54,.03,.78,.05,.67)
 (INFOGAIN-NB INFOGAIN 10 KNN FALSE,7,2,6,72,.97,.46,.92,.63,.67)
 (BSQUARE-NB BSQUARE 10 KNN TRUE,58,4,15,10,.71,.21,.40,.32,.75)
 (BSQUARE-NB BSQUARE 10 KNN FALSE,10,15,4,58,.79,.29,.94,.42,.75)
 (INFOGAIN-PRISM INFOGAIN 10 KNN TRUE,71,8,3,5,.38,.04,.63,.07,.56)
 (INFOGAIN-PRISM INFOGAIN 10 KNN FALSE,7,6,6,68,.92,.46,.92,.61,.67)
 (BSQUARE-PRISM BSQUARE 10 KNN TRUE,77,7,1,2,.22,.01,.67,.02,.45)
 (BSQUARE-PRISM BSQUARE 10 KNN FALSE,3,4,6,74,.95,.67,.93,.78,.53)
 (INFOGAIN-NB INFOGAIN 12 KNN TRUE,69,6,5,7,.54,.07,.58,.12,.67)
 (INFOGAIN-NB INFOGAIN 12 KNN FALSE,7,5,6,69,.93,.46,.92,.62,.67)
 (BSQUARE-NB BSQUARE 12 KNN TRUE,60,9,13,5,.36,.18,.28,.24,.53)
 (BSQUARE-NB BSQUARE 12 KNN FALSE,5,13,9,60,.82,.64,.87,.72,.53)
 (INFOGAIN-PRISM INFOGAIN 12 KNN FALSE,14,4,5,64,.94,.26,.93,.41,.81)
 (INFOGAIN-PRISM INFOGAIN 12 KNN TRUE,66,7,2,12,.63,.03,.86,.06,.74)
 (BSQUARE-PRISM BSQUARE 12 KNN TRUE,65,4,2,16,.80,.03,.89,.06,.86)
 (BSQUARE-PRISM BSQUARE 12 KNN FALSE,16,5,4,62,.93,.20,.94,.33,.85)
 (INFOGAIN-NB INFOGAIN 2 KNN TRUE,62,11,6,8,.42,.09,.57,.15,.59)
 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,8,6,11,62,.91,.58,.85,.71,.59)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,76,11,0,0,.00,.00,.00,.00,.29)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,0,0,11,76,1.00,1.00,.87,.00,.29)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,74,12,0,1,.08,.00,1.00,.00,.35)
 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,4,3,9,71,.96,.69,.89,.80,.51)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,7,5,7,68,.93,.50,.91,.65,.64)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,72,8,1,6,.43,.01,.86,.03,.60)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,10,8,6,63,.89,.38,.91,.53,.72)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,63,6,8,10,.63,.11,.56,.19,.72)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,63,11,5,8,.42,.07,.62,.13,.59)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,8,5,11,63,.93,.58,.85,.71,.59)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,74,5,1,7,.58,.01,.88,.03,.71)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,9,4,3,71,.95,.25,.96,.40,.82)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,73,12,2,0,.00,.03,.00,.00,.29)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,1,6,11,69,.92,.92,.86,.92,.35)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,63,8,7,9,.53,.10,.56,.17,.66)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,9,7,8,63,.90,.47,.89,.62,.66)
 (BSQUARE-NB BSQUARE 8 KNN FALSE,9,4,4,70,.95,.31,.95,.46,.78)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,70,4,4,9,.69,.05,.69,.10,.78)
 (INFOGAIN-PRISM INFOGAIN 8 KNN FALSE,14,2,3,68,.97,.18,.96,.30,.87)
 (INFOGAIN-PRISM INFOGAIN 8 KNN TRUE,70,4,0,13,.76,.00,1.00,.00,.83)
 (BSQUARE-PRISM BSQUARE 8 KNN TRUE,74,7,1,5,.42,.01,.83,.03,.59)
 (BSQUARE-PRISM BSQUARE 8 KNN FALSE,7,3,5,72,.96,.42,.94,.58,.70)
 (INFOGAIN-NB INFOGAIN 10 KNN TRUE,62,8,7,10,.56,.10,.59,.17,.68)
 (INFOGAIN-NB INFOGAIN 10 KNN FALSE,10,7,8,62,.90,.44,.89,.59,.68)
 (BSQUARE-NB BSQUARE 10 KNN TRUE,66,4,7,10,.71,.10,.59,.17,.79)
 (BSQUARE-NB BSQUARE 10 KNN FALSE,10,7,4,66,.90,.29,.94,.43,.79)
 (INFOGAIN-PRISM INFOGAIN 10 KNN FALSE,13,3,4,67,.96,.24,.94,.38,.83)
 (INFOGAIN-PRISM INFOGAIN 10 KNN TRUE,69,5,1,12,.71,.01,.92,.03,.79)
 (BSQUARE-PRISM BSQUARE 10 KNN TRUE,70,4,5,8,.67,.07,.62,.12,.76)
 (BSQUARE-PRISM BSQUARE 10 KNN FALSE,8,7,4,68,.91,.33,.94,.49,.76)
 (INFOGAIN-NB INFOGAIN 12 KNN TRUE,63,13,3,8,.38,.05,.73,.08,.56)
 (INFOGAIN-NB INFOGAIN 12 KNN FALSE,8,3,13,63,.95,.62,.83,.75,.56)
 (BSQUARE-NB BSQUARE 12 KNN FALSE,8,23,7,49,.68,.47,.88,.55,.60)
 (BSQUARE-NB BSQUARE 12 KNN TRUE,49,7,23,8,.53,.32,.26,.40,.60)
 (INFOGAIN-PRISM INFOGAIN 12 KNN TRUE,65,7,2,13,.65,.03,.87,.06,.75)
 (INFOGAIN-PRISM INFOGAIN 12 KNN FALSE,14,7,6,60,.90,.30,.91,.45,.78)
 (BSQUARE-PRISM BSQUARE 12 KNN FALSE,9,3,5,70,.96,.36,.93,.52,.75)
 (BSQUARE-PRISM BSQUARE 12 KNN TRUE,71,7,2,7,.50,.03,.78,.05,.65)
 (INFOGAIN-NB INFOGAIN 2 KNN TRUE,71,9,5,2,.18,.07,.29,.10,.42)
 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,2,5,9,71,.93,.82,.89,.87,.42)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,69,8,3,7,.47,.04,.70,.08,.62)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,7,3,8,69,.96,.53,.90,.69,.62)
 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,5,6,11,65,.92,.69,.86,.79,.51)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,69,14,2,2,.13,.03,.50,.05,.38)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,68,9,3,7,.44,.04,.70,.08,.60)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,9,5,7,66,.93,.44,.90,.59,.69)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,72,10,1,4,.29,.01,.80,.03,.49)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,4,1,10,72,.99,.71,.88,.83,.49)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,66,8,8,5,.38,.11,.38,.17,.56)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,5,8,8,66,.89,.62,.89,.73,.56)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,70,5,2,10,.67,.03,.83,.05,.76)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,10,2,5,70,.97,.33,.93,.50,.76)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,77,10,0,0,.00,.00,.00,.00,.29)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,5,3,5,74,.96,.50,.94,.66,.65)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,11,1,5,70,.99,.31,.93,.47,.78)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,70,5,1,11,.69,.01,.92,.03,.78)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,68,5,7,7,.58,.09,.50,.16,.70)
 (BSQUARE-NB BSQUARE 8 KNN FALSE,7,7,5,68,.91,.42,.93,.57,.70)
 (INFOGAIN-PRISM INFOGAIN 8 KNN FALSE,15,6,4,62,.91,.21,.94,.34,.84)
 (INFOGAIN-PRISM INFOGAIN 8 KNN TRUE,65,5,3,14,.74,.04,.82,.08,.81)
 (BSQUARE-PRISM BSQUARE 8 KNN TRUE,68,8,2,9,.53,.03,.82,.05,.67)
 (BSQUARE-PRISM BSQUARE 8 KNN FALSE,11,3,6,67,.96,.35,.92,.52,.75)
 (INFOGAIN-NB INFOGAIN 10 KNN FALSE,7,6,7,67,.92,.50,.91,.65,.64)
 (INFOGAIN-NB INFOGAIN 10 KNN TRUE,67,7,6,7,.50,.08,.54,.14,.64)
 (BSQUARE-NB BSQUARE 10 KNN TRUE,67,5,7,8,.62,.09,.53,.16,.72)
 (BSQUARE-NB BSQUARE 10 KNN FALSE,8,7,5,67,.91,.38,.93,.54,.72)
 (INFOGAIN-PRISM INFOGAIN 10 KNN TRUE,72,8,3,4,.33,.04,.57,.07,.53)
 (INFOGAIN-PRISM INFOGAIN 10 KNN FALSE,4,8,8,67,.89,.67,.89,.76,.52)
 (BSQUARE-PRISM BSQUARE 10 KNN TRUE,73,3,0,11,.79,.00,1.00,.00,.85)
 (BSQUARE-PRISM BSQUARE 10 KNN FALSE,11,5,3,68,.93,.21,.96,.35,.84)
 (INFOGAIN-NB INFOGAIN 12 KNN FALSE,5,7,3,72,.91,.38,.96,.53,.73)
 (INFOGAIN-NB INFOGAIN 12 KNN TRUE,72,3,7,5,.63,.09,.42,.16,.73)
 (BSQUARE-NB BSQUARE 12 KNN TRUE,54,6,20,7,.54,.27,.26,.36,.62)
 (BSQUARE-NB BSQUARE 12 KNN FALSE,7,20,6,54,.73,.46,.90,.57,.62)
 (INFOGAIN-PRISM INFOGAIN 12 KNN TRUE,77,8,0,2,.20,.00,1.00,.00,.43)
 (INFOGAIN-PRISM INFOGAIN 12 KNN FALSE,5,4,5,73,.95,.50,.94,.65,.64)
 (BSQUARE-PRISM BSQUARE 12 KNN TRUE,71,5,2,9,.64,.03,.82,.05,.75)
 (BSQUARE-PRISM BSQUARE 12 KNN FALSE,9,4,5,69,.95,.36,.93,.52,.74)
